,artist,track,date,chart,spotify_query
0,Powfu Featuring beabadoobee,death bed,2020-05-01,hot-100,Powfu+death+bed
1,blackbear,Hot Girl Bummer,2020-05-01,hot-100,blackbear+Hot+Girl+Bummer
2,SAINt JHN,Roses (Imanbek Remix),2020-05-01,hot-100,SAINt+JHN+Roses
3,Morgan Wallen,Chasin' You,2020-05-01,hot-100,Morgan+Wallen+Chasin'+You
4,Blake Shelton Duet With Gwen Stefani,Nobody But You,2020-05-01,hot-100,Blake+Shelton+Gwen+Stefani+Nobody+But+You
5,Lil Mosey,Blueberry Faygo,2020-05-01,hot-100,Lil+Mosey+Blueberry+Faygo
6,Maroon 5,Memories,2020-05-01,hot-100,Maroon+5+Memories
7,DaBaby Featuring YoungBoy Never Broke Again,JUMP,2020-05-01,hot-100,DaBaby+JUMP
8,Gabby Barrett,I Hope,2020-05-01,hot-100,Gabby+Barrett+I+Hope
9,Lewis Capaldi,Someone You Loved,2020-05-01,hot-100,Lewis+Capaldi+Someone+You+Loved
10,Megan Thee Stallion,Savage,2020-05-01,hot-100,Megan+Thee+Stallion+Savage
11,Maren Morris,The Bones,2020-05-01,hot-100,Maren+Morris+The+Bones
12,Camila Cabello Featuring DaBaby,My Oh My,2020-05-01,hot-100,Camila+Cabello+My+Oh+My
13,Billie Eilish,everything i wanted,2020-05-01,hot-100,Billie+Eilish+everything+i+wanted
14,Future Featuring Drake,Life Is Good,2020-05-01,hot-100,Future+Life+Is+Good
15,DaBaby Featuring Roddy Ricch,ROCKSTAR,2020-05-01,hot-100,DaBaby+ROCKSTAR
16,Justin Bieber Featuring Quavo,Intentions,2020-05-01,hot-100,Justin+Bieber+Intentions
17,Harry Styles,Adore You,2020-05-01,hot-100,Harry+Styles+Adore+You
18,Post Malone,Circles,2020-05-01,hot-100,Post+Malone+Circles
19,Doja Cat,Say So,2020-05-01,hot-100,Doja+Cat+Say+So
20,Dua Lipa,Don't Start Now,2020-05-01,hot-100,Dua+Lipa+Don't+Start+Now
21,Roddy Ricch,The Box,2020-05-01,hot-100,Roddy+Ricch+The+Box
22,Drake,Toosie Slide,2020-05-01,hot-100,Drake+Toosie+Slide
23,Trevor Daniel,Falling,2020-05-01,hot-100,Trevor+Daniel+Falling
24,Roddy Ricch Featuring Mustard,High Fashion,2020-05-01,hot-100,Roddy+Ricch+High+Fashion
25,DaBaby Featuring Ashanti & Megan Thee Stallion,NASTY,2020-05-01,hot-100,DaBaby+NASTY
26,Arizona Zervas,Roxanne,2020-05-01,hot-100,Arizona+Zervas+Roxanne
27,Chris Brown Featuring Drake,No Guidance,2020-05-01,hot-100,Chris+Brown+No+Guidance
28,Carly Pearce & Lee Brice,I Hope You're Happy Now,2020-05-01,hot-100,Carly+Pearce+I+Hope+You're+Happy+Now
29,Lady Gaga,Stupid Love,2020-05-01,hot-100,Lady+Gaga+Stupid+Love
30,twenty one pilots,Level Of Concern,2020-05-01,hot-100,twenty+one+pilots+Level+Of+Concern
31,DaBaby Featuring Quavo,PICK UP,2020-05-01,hot-100,DaBaby+PICK+UP
32,DaBaby,BOP,2020-05-01,hot-100,DaBaby+BOP
33,Demi Lovato,I Love Me,2020-05-01,hot-100,Demi+Lovato+I+Love+Me
34,Dan + Shay & Justin Bieber,"10,000 Hours",2020-05-01,hot-100,"Dan+++Shay+10,000+Hours"
35,Luke Combs Featuring Eric Church,Does To Me,2020-05-01,hot-100,Luke+Combs+Does+To+Me
36,Dua Lipa,Break My Heart,2020-05-01,hot-100,Dua+Lipa+Break+My+Heart
37,Surfaces,Sunday Best,2020-05-01,hot-100,Surfaces+Sunday+Best
38,Jack Harlow,Whats Poppin,2020-05-01,hot-100,Jack+Harlow+Whats+Poppin
39,Sam Smith & Demi Lovato,I'm Ready,2020-05-01,hot-100,Sam+Smith+I'm+Ready
40,Playboi Carti,@ MEH,2020-05-01,hot-100,Playboi+Carti+@+MEH
41,The Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),2020-05-01,hot-100,The+Black+Eyed+Peas+J+Balvin+RITMO
42,DaBaby,Find My Way,2020-05-01,hot-100,DaBaby+Find+My+Way
43,Mustard & Roddy Ricch,Ballin',2020-05-01,hot-100,Mustard+Ballin'
44,Tones And I,Dance Monkey,2020-05-01,hot-100,Tones+And+I+Dance+Monkey
45,Ingrid Andress,More Hearts Than Mine,2020-05-01,hot-100,Ingrid+Andress+More+Hearts+Than+Mine
46,Rod Wave,Heart On Ice,2020-05-01,hot-100,Rod+Wave+Heart+On+Ice
47,The Weeknd,Heartless,2020-05-01,hot-100,The+Weeknd+Heartless
48,The Weeknd,Blinding Lights,2020-05-01,hot-100,The+Weeknd+Blinding+Lights
