,artist,track,date,chart,spotify_query
0,NLE Choppa Featuring Roddy Ricch,Walk Em Down,2020-05-01,rap-song,NLE+Choppa+Walk+Em+Down
1,DaBaby,Find My Way,2020-05-01,rap-song,DaBaby+Find+My+Way
2,Drake,Toosie Slide,2020-05-01,rap-song,Drake+Toosie+Slide
3,Roddy Ricch,The Box,2020-05-01,rap-song,Roddy+Ricch+The+Box
4,DaBaby Featuring Roddy Ricch,ROCKSTAR,2020-05-01,rap-song,DaBaby+ROCKSTAR
5,Future Featuring Drake,Life Is Good,2020-05-01,rap-song,Future+Life+Is+Good
6,Megan Thee Stallion,Savage,2020-05-01,rap-song,Megan+Thee+Stallion+Savage
7,DaBaby Featuring YoungBoy Never Broke Again,JUMP,2020-05-01,rap-song,DaBaby+JUMP
8,Trevor Daniel,Falling,2020-05-01,rap-song,Trevor+Daniel+Falling
9,Roddy Ricch Featuring Mustard,High Fashion,2020-05-01,rap-song,Roddy+Ricch+High+Fashion
10,Arizona Zervas,Roxanne,2020-05-01,rap-song,Arizona+Zervas+Roxanne
11,Powfu Featuring beabadoobee,death bed,2020-05-01,rap-song,Powfu+death+bed
12,Rod Wave,Heart On Ice,2020-05-01,rap-song,Rod+Wave+Heart+On+Ice
13,Lil Mosey,Blueberry Faygo,2020-05-01,rap-song,Lil+Mosey+Blueberry+Faygo
14,Playboi Carti,@ MEH,2020-05-01,rap-song,Playboi+Carti+@+MEH
15,Lil Baby,Sum 2 Prove,2020-05-01,rap-song,Lil+Baby+Sum+2+Prove
16,Jack Harlow,Whats Poppin,2020-05-01,rap-song,Jack+Harlow+Whats+Poppin
17,DaBaby,BLAME IT ON BABY,2020-05-01,rap-song,DaBaby+BLAME+IT+ON+BABY
18,DaBaby,CAN'T STOP,2020-05-01,rap-song,DaBaby+CAN'T+STOP
19,YNW Melly & Juice WRLD,Suicidal,2020-05-01,rap-song,YNW+Melly+Suicidal
20,Russ & BIA,BEST ON EARTH,2020-05-01,rap-song,Russ+BEST+ON+EARTH
21,Pop Smoke,Dior,2020-05-01,rap-song,Pop+Smoke+Dior
22,DaBaby Featuring Future & jetsonmade,LIGHTSKIN SH*T,2020-05-01,rap-song,DaBaby+LIGHTSKIN+SH*T
23,DaBaby Featuring Ashanti & Megan Thee Stallion,NASTY,2020-05-01,rap-song,DaBaby+NASTY
24,DaBaby Featuring Quavo,PICK UP,2020-05-01,rap-song,DaBaby+PICK+UP
25,Eminem Featuring Juice WRLD,Godzilla,2020-04-01,rap-song,Eminem+Godzilla
26,DaBaby,BOP,2020-04-01,rap-song,DaBaby+BOP
27,blackbear,Hot Girl Bummer,2020-04-01,rap-song,blackbear+Hot+Girl+Bummer
28,Lil Baby,Woah,2020-04-01,rap-song,Lil+Baby+Woah
29,Lil Uzi Vert,P2,2020-04-01,rap-song,Lil+Uzi+Vert+P2
30,Lil Uzi Vert,That Way,2020-04-01,rap-song,Lil+Uzi+Vert+That+Way
31,Lil Uzi Vert,Myron,2020-04-01,rap-song,Lil+Uzi+Vert+Myron
32,JACKBOYS Featuring Young Thug,OUT WEST,2020-04-01,rap-song,JACKBOYS+OUT+WEST
